,URL,Bundle,Sale,Regular Price (£),Sale Price (£),Saving (%)
Diezel Herbert Amplifier ,https://www.uaudio.com/uad-plugins/guitar-bass/diezel-herbert-amplifier.html,False,True,115,57.0,50
Tube-Tech CL 1B MkII Compressor,https://www.uaudio.com/uad-plugins/compressors-limiters/tube-tech-cl-1b-mkii-compressor.html,False,True,229,114.0,50
Diezel VH4 Amplifier,https://www.uaudio.com/uad-plugins/guitar-bass/diezel-vh4-amplifier.html,False,True,115,57.0,50
Sonnox Oxford SuprEsser DS,https://www.uaudio.com/uad-plugins/special-processing/sonnox-oxford-supresser-ds.html,False,True,189,94.0,50
Spitfire Symphonic Woodwinds,https://www.uaudio.com/luna/instruments-extensions/spitfire-symphonic-woodwinds-luna-edition.html,False,False,229,,0
Spitfire Symphonic Brass,https://www.uaudio.com/luna/instruments-extensions/spitfire-symphonic-brass-luna-edition.html,False,False,229,,0
Spitfire Chamber Strings,https://www.uaudio.com/luna/instruments-extensions/spitfire-chamber-strings-luna-edition.html,False,False,229,,0
LUNA Spitfire Bundle,https://www.uaudio.com/uad-plugins/plug-in-bundles/luna-spitfire-bundle.html,True,False,449,,0
Studer® A800 Multichannel Tape Recorder ,https://www.uaudio.com/uad-plugins/special-processing/studer-a800-tape-recorder.html,False,True,260,130.0,50
Ampex® ATR-102 Mastering Tape Recorder,https://www.uaudio.com/uad-plugins/special-processing/ampex-atr-102.html,False,True,260,130.0,50
API Summing,https://www.uaudio.com/luna/instruments-extensions/api-summing.html,False,True,229,91.0,60
LUNA Analog Essentials Bundle,https://www.uaudio.com/luna/instruments-extensions/luna-analog-essentials-bundle.html,True,True,449,359.0,20
Neve Dynamics Collection,https://www.uaudio.com/uad-plugins/compressors-limiters/neve-dynamics-collection.html,False,True,229,114.0,50
Neve Complete Bundle,https://www.uaudio.com/uad-plugins/all-plugins/neve-complete-bundle.html,True,True,679,543.0,20
ENGL® Amplifier Plug-In Bundle,https://www.uaudio.com/uad-plugins/engl-amplifier-bundle.html,False,True,229,183.0,20
Marshall® Legends Bundle,https://www.uaudio.com/uad-plugins/plug-in-bundles/marshall-legends-bundle.html,True,True,299,239.0,20
